13,4,7,,0
14,4,7,,0
15,4,7,,0
11,5,7,,0
12,5,7,,0
13,5,7,,0
14,5,7,,0
15,5,7,,0
11,6,7,,0
12,6,3,,0
13,6,3,,0
14,6,3,,0
15,6,3,,0
16,6,7,,0
17,6,7,,0
8,7,7,,0
9,7,7,,0
10,7,7,,0
11,7,3,,0
12,7,4,,0
13,7,4,,0
14,7,7,,0
15,7,3,,0
16,7,3,,0
17,7,7,,0
8,8,7,,0
9,8,7,,0
10,8,7,,0
11,8,1,,0
12,8,4,,0
13,8,7,,0
14,8,7,,0
15,8,7,,0
16,8,7,,0
17,8,3,,0
18,8,7,,0
7,9,7,,0
8,9,7,,0
9,9,7,,0
10,9,1,,0
11,9,1,,0
12,9,7,,0
13,9,7,,0
14,9,7,,1
15,9,7,,0
16,9,5,,0
17,9,3,,0
18,9,7,,0
8,10,7,,0
9,10,1,,0
10,10,1,,0
11,10,7,,0
12,10,7,,0
13,10,7,,0
14,10,7,204.png,0
15,10,7,,0
16,10,5,,0
17,10,3,,0
18,10,7,,0
8,11,7,,0
9,11,1,,0
10,11,1,,0
11,11,7,,0
12,11,7,,0
13,11,7,,0
14,11,6,,0
15,11,5,,0
16,11,3,,0
17,11,7,,0
9,12,7,,0
10,12,7,,0
11,12,7,,6
12,12,7,317.png,0
13,12,6,,0
14,12,6,,0
15,12,7,,0
16,12,7,,0
17,12,7,,0
9,13,7,,0
10,13,7,,0
11,13,7,,0
12,13,7,,0
13,13,7,,0
14,13,7,,0
15,13,7,,0
